Naysan Munusamy,https://www.linkedin.com/in/naysanmunusamy/,2,"
Venture Capitalist & Entrepreneur Venture Capitalist & Entrepreneur ",16,https://media.licdn.com/dms/image/C4E03AQH_eg2Y6rftlA/profile-displayphoto-shrink_100_100/0/1517723951382?e=1688601600&v=beta&t=Y2dgwurBHLPkJqdTBkClpvXGNjxKPo6tHp91pA8FvEE,1
﻿Shangrong Soh,https://www.linkedin.com/in/shangrong-soh-5a99593a,1,"Shangrong is currently the COO & Co-Founder of Supplycart.

Supplycart is a cloud based procurement software. We help businesses manage, control & analyse their spend. Being Malaysia''s premier business-to-business (B2B) e-Procurement platform dedicated to helping companies nationwide in achieving efficiency and cost saving by impacting the way businesses source and procure for their business needs by embracing digital transformation.

By enabling businesses to adopt technology and providing them with ways to change the way they procure and manage their business needs, company''s are able to manage spend better, save time and focus on what truly matters for their business.",18,https://media.licdn.com/dms/image/C5103AQFaWKpllwc2zw/profile-displayphoto-shrink_200_200/0/1524923031207?e=1688601600&v=beta&t=Z2ODBKgBB07fbAOyRBWHkx-Ler-Ba0qCGa9pJkK-VKo,0
Julian Soon,https://www.linkedin.com/in/jsysoon,1,"Julian is currently responsible for leading KLK Oleochemicals Segment, IT / Business Finance / Business Process Transformation team.

He was previously a co-founder of Supplycart - responsible for leading the development of a Procure-to-Pay Cloud software (ADAM), heading an in-house Engineering & Product team. 

Prior to returning home to Malaysia, Julian was a strategy & implementation project manager in BP Singapore''s AsPac regional office with project experience spanning across Fuels, Petrochemicals and Castrol Lubricants businesses. 

Julian spent 9 years in global commercial/operational/organisational consulting experience - having led and been part of large scale business transformation projects in the US, UK, Europe, Africa, China, Australia and South East Asia.

Julian trained as a Chartered Accountant (ICAEW) in KPMG London, within the Industrial and Private Equity sector. He then joined KPMG London''s Management Consulting (Operations Strategy Group) that provided operations valuation, due diligence and performance transformation advice for both corporate and private equity clients

Startup experience: Organisational & process setup, Business KPI development & monitoring, Series A funding, SCRUM methodology

Corporate Experience: Change management, Cost optimisation, Upside identification, Operational Due Diligence, US Downstream & South Africa Downstream operations, Refinery operations, China Petrochemical operations, Shared Services Centre, Cost-to-Serve modelling, Supply Chain optimisation strategy, Organisation set-up",17,https://media.licdn.com/dms/image/C5103AQHbM86GJ8fG5g/profile-displayphoto-shrink_100_100/0/1562149747078?e=1688601600&v=beta&t=BkoR0tYFB7NF3e0f5bJfXG9kG3-u1zsQi_gMxSliz1Y,0
Ognyen Regoje,https://www.linkedin.com/in/ognjenregoje,3,"My name is Ognjen, but you can call me Oggy. I make products that run on the web (mostly). 

I''m a Staff SE at Doctolib. Previously I was the technical co-founder at Supplybunny.com. I also worked at a consultancy and I freelanced building very early stage products.

When building I prefer using Rails, Vue, Coffeescript and SASS. 

Besides development, I''m also well versed in product development, requirements gathering, architecture and database design (including ETL). I also do training for the tech stack as well as Agile.",14,https://media.licdn.com/dms/image/C5103AQEcLzfTHdzRMw/profile-displayphoto-shrink_400_400/0/1571644925421?e=1688601600&v=beta&t=7QyegDlG6BIhfYezybssT4faNKk7UXVmO3I7fuFELMU,0
Jonathan Oh,https://www.linkedin.com/in/ohjonathan,1,"Currently the CEO & Co-Founder of Supplycart. Focussing on leading Business Development & Partnerships of Supplycart''s Proprietary business Procure to Pay Software. Actively looking out and working with businesses, partners, system integrators, consultants and key stakeholders in adopting procurement technology.

Supplycart created a one of a kind e-procurement solution named ADAM, a cloud based procure to pay software. We help businesses digitalise, manage, control & analyse their business purchases. We are on a mission to impact businesses in the SEA Region in achieving efficiency and cost saving by impacting the way businesses source, procure and pay for their business needs by embracing digital transformation.",17,https://media.licdn.com/dms/image/C5103AQEu28I2Cpty8A/profile-displayphoto-shrink_200_200/0/1562136699871?e=1688601600&v=beta&t=9Un0x4b2dOWRpdcTU2SbnFFe-CFOgq0XQO0EupUBXm8,2
Richard Chew,https://www.linkedin.com/in/richardchew/,2,"An energetic and skilled finance professional with a balance of commercial, financial and operational focus. Fully qualified Chartered Accountant via PwC with over two decades of senior management experience. 

Industry sectors include media, advertising, marketing, music, entertainment, travel, property, investments, manufacturing, wholesale, retail, sports, fitness, wellness, e-Commerce, FinTech, SaaS and cloud/digital technology in all aspects of business development, capital funding and financing experience specifically in :

- Strategic planning, leadership and execution – experienced and analytical, with a high capacity for identifying, leading and delivering on key strategic objectives.

- Business Development and Implementation – a creative and focused approach to developing existing, new and sustainable revenue streams and services on both B2B and B2C basis plus D2C.

- Creative and Commercial – proven blend of commercial focus coupled with experienced creative direction.

- Mergers and Acquisitions – experienced in identifying M&A targets and corporate finance; establishing business cases and advising upon strategic benefits, market impact and synergies on a global scale.

- Financial Control and Reporting – Management and preparation of consolidated group financials including budgets, forecast and cash flows with tax computations for year end audits and compliance.

- Team Management - Proven to be effective at managing, influencing, recruiting and developing high performance finance teams whilst maintaining and increasing team motivation. 

- Additional expertise and experience - deal structuring, contract negotiation; financial management and modeling; digital media, technology; capital raising structure and financing.

Specialties: Accounting and Finance, Strategic Performance Management, Venture Capital Raising, Budgeting, Forecasting, Mergers and Acquisitions, Valuations, Due Diligence, Brand IP strategies, IT and Systems Implementation and Project Management.",28,https://media.licdn.com/dms/image/C5603AQFbFhl0DggyGA/profile-displayphoto-shrink_100_100/0/1620360359271?e=1688601600&v=beta&t=hx2koq2aFNdRkhz1gzpKB8vlJigqy3_i1ndoFKQOMGs,5
Kangyew Tham,https://www.linkedin.com/in/thamkengyew,3,"A graduate of Michigan State University with a bachelors in Computer Engineering, Kengyew was accepted into a fast-track PhD program to develop mesh networking solutions for DARPA.
However, an amazing opportunity popped up in 2003 to join a Silicon Valley startup focusing on mesh networking, and Kengyew decided to embark on the life of a startup entreprenuer.
Kengyew spent the next 5 years working experience with multiple Silicon Valley startups, developing high-tech telecommunications solutions, which were sold and deployed into large conglomerates such as Chinasat, TNB, ATT, and more. He has since then discovered a passion for startups and has founded & fundraised startups, including a global events business matching website used by 266,000 businesses and 400 exhibitions in 9 countries. 
Kengyew has a keen mind for identifying opportunities within the B2B supply-chain sector and relentless perfects software systems to build large scale businesses.

Today, Kengyew is CEO of Supplybunny - a B2B Food Tech startup, aimed at connecting 40,000 restaurants in Malaysia to the best suppliers located near them. Supplybunny is one of the few startups that raised a seed round 2 weeks into launch (by Gobi Ventures) and has been featured on various media such as e27, Techinasia, BFM, DNA, as a truly innovative startup solving an industry problem. Supplybunny has already hit more than 6 figures in orders by month 2. 

Besides Supplybunny, Kengyew also spends his spare time, mentoring & teaching young entrepreneurs and angel investing into other startups. Kengyew is a member of MENSA.",20,https://media.licdn.com/dms/image/D4D03AQH1pR9JsR2G7g/profile-displayphoto-shrink_400_400/0/1680257030622?e=1688601600&v=beta&t=ZeMWTK-q3mUAFUqjP0EyJxwTKA9PjMXVKwC5oUwlIC0,3
Mark Britt,https://www.linkedin.com/in/markbritt,4,,17,https://media.licdn.com/dms/image/C4D03AQGeCpjtriQRVg/profile-displayphoto-shrink_400_400/0/1516237261326?e=1688601600&v=beta&t=5tDIDv9zoFRiJgMic5-ynnTBlHUFFUxyG3c-E0amf_8,0
Lenise Ng,https://www.linkedin.com/in/lenniseng,5,,9,https://media.licdn.com/dms/image/D5603AQF7EDZipHpLRA/profile-displayphoto-shrink_400_400/0/1668415489380?e=1688601600&v=beta&t=uN5-2M-r9C8yl_o3dNqwrSoUjRt_u9tDoi2-OFv2JF8,0
Aizat Rahim,https://www.linkedin.com/in/aizatrahim,5,"Aizat Rahim is the Managing Director & Co-founder of Dropee.com - the largest B2B marketplace, e-procurement and e-commerce company in Malaysia. Dropee assists retailers, manufacturers, wholesalers to manage their supply-chain digitally. Dropee help SME businesses grow by providing access to qualified wholesalers, manufacturers and principals to source affordable quality products at a faster, cheaper, and reliable way. Dropee currently serves more than 130,000 retailers, 28000 brands with 2 million SKUs under their platform. 

Prior to Dropee, he was also one of the founding partners of Infinite Ventures, a venture build organisation that was acquired by Kern Technology and founded Jobs4Locum, with another trade sale acquisition by MIMS Pte Ltd and sat as the board member for two years.",12,https://www.linkedin.com/in/aizatrahim,1
